timestamp,model_name,param__logit__C,param__logit__penalty,metric__auc_train,metric__auc_val,metric__auc_test,metric__cv_auc_mean,metric__pr_auc_val,metric__brier_val,metric__best_threshold_f1,metric__f1_best_val,metric__best_threshold_j,metric__tpr_j,metric__tnr_j,metric__naive_acc_val,metric__acc_default_val,metric__acc_f1_val,notes
2025-12-27T19:55:01,04_xgb_baseline_val,val,0.5,0.6571464007689294,0.43591548799966534,0.2261992245912552,0.3856640281442392,0.5961930659415363,0.4683578104138852,2237,1397,594,877,xgb_baseline,xgb_baseline on val set
2025-12-27T19:55:01,04_xgb_baseline_test,test,0.5,0.6636811037983663,0.44544060761365467,0.22331412136554718,0.3935395814376706,0.5880353501019715,0.4715181248296539,2301,1333,606,865,xgb_baseline,xgb_baseline on test set
2025-12-27T19:55:01,04_xgb_optuna_val,val,0.5,0.6576183764858443,0.4373720780481602,0.2318795770406723,0.38209779179810727,0.6587355540448674,0.48365360618916897,2067,1567,502,969,xgb_optuna,xgb_optuna on val set
2025-12-27T19:55:01,04_xgb_optuna_test,test,0.5,0.6690619636958448,0.44394015569422396,0.22788798809051514,0.39063761097659405,0.6580557443915703,0.49025069637883006,2124,1510,503,968,xgb_optuna,xgb_optuna on test set
2025-12-27T19:55:01,04_lgbm_small_val,val,0.5,0.6502394299326513,0.43109971748350107,0.22458519114547548,0.3883051621745089,0.5778382053025153,0.4644808743169399,2295,1339,621,850,lgbm_small,lgbm_small on val set
2025-12-27T19:55:01,04_lgbm_small_test,test,0.5,0.6699733650802321,0.44763220460966935,0.21998297412727033,0.4015044663845792,0.5805574439157036,0.47470817120622566,2361,1273,617,854,lgbm_small,lgbm_small on test set
2025-12-27T20:02:35,04_dt_baseline_val,val,0.5,0.6317025509137023,0.4036425120591359,0.23815592191361062,0.37078171721486547,0.5900747790618627,0.45540398740818466,2161,1473,603,868,dt_baseline,dt_baseline on val set
2025-12-27T20:02:35,04_dt_baseline_test,test,0.5,0.6250771192981761,0.3934249689089091,0.23820870052004783,0.36798245614035086,0.5703602991162474,0.44734737403359104,2193,1441,632,839,dt_baseline,dt_baseline on test set
2025-12-27T20:02:35,04_rf_baseline_val,val,0.5,0.6490161841090658,0.4215167345114951,0.23136600211634548,0.36599099099099097,0.6628144119646499,0.47158403869407495,1945,1689,496,975,rf_baseline,rf_baseline on val set
2025-12-27T20:02:35,04_rf_baseline_test,test,0.5,0.6534278382240095,0.4289589787839997,0.2289709541625448,0.373933281613654,0.6553365057783821,0.47616695480365523,2020,1614,507,964,rf_baseline,rf_baseline on test set
2025-12-27T20:02:35,04_xgb_baseline_val,val,0.5,0.6571464007689294,0.43591548799966534,0.2261992245912552,0.3856640281442392,0.5961930659415363,0.4683578104138852,2237,1397,594,877,xgb_baseline,xgb_baseline on val set
2025-12-27T20:02:35,04_xgb_baseline_test,test,0.5,0.6636811037983663,0.44544060761365467,0.22331412136554718,0.3935395814376706,0.5880353501019715,0.4715181248296539,2301,1333,606,865,xgb_baseline,xgb_baseline on test set
2025-12-27T20:02:35,04_xgb_optuna_val,val,0.5,0.6576183764858443,0.4373720780481602,0.2318795770406723,0.38209779179810727,0.6587355540448674,0.48365360618916897,2067,1567,502,969,xgb_optuna,xgb_optuna on val set
2025-12-27T20:02:35,04_xgb_optuna_test,test,0.5,0.6690619636958448,0.44394015569422396,0.22788798809051514,0.39063761097659405,0.6580557443915703,0.49025069637883006,2124,1510,503,968,xgb_optuna,xgb_optuna on test set
2025-12-27T20:02:35,04_lgbm_small_val,val,0.5,0.6502394299326513,0.43109971748350107,0.22458519114547548,0.3883051621745089,0.5778382053025153,0.4644808743169399,2295,1339,621,850,lgbm_small,lgbm_small on val set
2025-12-27T20:02:35,04_lgbm_small_test,test,0.5,0.6699733650802321,0.44763220460966935,0.21998297412727033,0.4015044663845792,0.5805574439157036,0.47470817120622566,2361,1273,617,854,lgbm_small,lgbm_small on test set
2025-12-27T20:07:11,04_dt_baseline_val,val,0.5,0.6317025509137023,0.4036425120591359,0.23815592191361062,0.37078171721486547,0.5900747790618627,0.45540398740818466,2161,1473,603,868,dt_baseline,dt_baseline on val set
2025-12-27T20:07:11,04_dt_baseline_test,test,0.5,0.6250771192981761,0.3934249689089091,0.23820870052004783,0.36798245614035086,0.5703602991162474,0.44734737403359104,2193,1441,632,839,dt_baseline,dt_baseline on test set
2025-12-27T20:07:11,04_rf_baseline_val,val,0.5,0.6490161841090658,0.4215167345114951,0.23136600211634548,0.36599099099099097,0.6628144119646499,0.47158403869407495,1945,1689,496,975,rf_baseline,rf_baseline on val set
2025-12-27T20:07:11,04_rf_baseline_test,test,0.5,0.6534278382240095,0.4289589787839997,0.22897095416254473,0.373933281613654,0.6553365057783821,0.47616695480365523,2020,1614,507,964,rf_baseline,rf_baseline on test set
2025-12-27T20:07:11,04_xgb_baseline_val,val,0.5,0.6571464007689294,0.43591548799966534,0.2261992245912552,0.3856640281442392,0.5961930659415363,0.4683578104138852,2237,1397,594,877,xgb_baseline,xgb_baseline on val set
2025-12-27T20:07:11,04_xgb_baseline_test,test,0.5,0.6636811037983663,0.44544060761365467,0.22331412136554718,0.3935395814376706,0.5880353501019715,0.4715181248296539,2301,1333,606,865,xgb_baseline,xgb_baseline on test set
2025-12-27T20:07:11,04_xgb_optuna_val,val,0.5,0.6576183764858443,0.4373720780481602,0.2318795770406723,0.38209779179810727,0.6587355540448674,0.48365360618916897,2067,1567,502,969,xgb_optuna,xgb_optuna on val set
2025-12-27T20:07:11,04_xgb_optuna_test,test,0.5,0.6690619636958448,0.44394015569422396,0.22788798809051514,0.39063761097659405,0.6580557443915703,0.49025069637883006,2124,1510,503,968,xgb_optuna,xgb_optuna on test set
2025-12-27T20:07:11,04_lgbm_small_val,val,0.5,0.6502394299326513,0.43109971748350107,0.22458519114547548,0.3883051621745089,0.5778382053025153,0.4644808743169399,2295,1339,621,850,lgbm_small,lgbm_small on val set
2025-12-27T20:07:11,04_lgbm_small_test,test,0.5,0.6699733650802321,0.44763220460966935,0.21998297412727033,0.4015044663845792,0.5805574439157036,0.47470817120622566,2361,1273,617,854,lgbm_small,lgbm_small on test set
